關鍵字,時間,網址,新聞標題,內容
covid-19,2020年08月18日 15:15,https://www.ettoday.net/news/20200818/1787561.htm,姜素拉年上未婚夫是醫生！　好友曝「超完美個性＋外貌」病患都叫他：紳士院長,記者張筱涵／綜合報導南韓演員姜素拉17日驚喜宣布結婚消息，雖然很可惜因為新冠肺炎（COVID-19）的關係沒能舉辦盛大儀式，但她仍開心表示「我遇見了想攜手共度人生的一位很棒的人」，圈外未婚夫的職業和年齡也在18日曝光。據韓媒《TVDaily》報導，姜素拉未婚夫是35歲以上的韓醫院院長，目前在京畿道某處經營，在業界是很有實力的醫生，對病患也都相當親切，常被說是「紳士暖男院長」。和姜素拉未婚夫很熟識的朋友表示：「他和姜素拉是祕密戀愛的關係，所以結婚消息曝光後很多人都嚇一跳，他的外貌也非常出色，這一對真的是俊男美女。」姜素拉出道11年來只在2016年認愛過玄彬，交往不到一年即分手，在感情面一向很低調慎重的她，如今在30歲這年找到想共度一生的伴侶，特別在官方粉絲團上傳親筆信說：「不知不覺也出道了11年，對比我更開心更感到喜悅的各位真的擁有無盡的感謝，我將在8月底結婚了，突如其來的消息一定嚇到了吧！我遇見了想攜手共度人生的一位很棒的人，我會過著幸福的婚姻生活，也會成為一個展現更多樣貌的好演員來報答各位的信任及支持。」►你要的這裡都有！ 
covid-19,"
                                                            2020年08月18日 14:36                                                        ",https://www.ettoday.net/news/20200818/1787583.htm,選定白宮接受共和黨提名！川普：這裡很自在　民主黨怒批「貶低」還可能觸法,▲美國總統川普（Donald Trump）。（圖／路透）文／中央社美國總統川普今天說，他下週將在白宮的現場演說中，接受共和黨總統提名。這個構想已招致民主黨人與一些共和黨人批評，但川普證實將按計畫進行。美國總統大選將於11月登場，民調落後民主黨對手拜登（Joe Biden）的川普，上週即向「紐約郵報」（New York Post）表示，他「可能」將在白宮草坪接受共和黨提名，稱這是「讓我感到自在的地方」。2019冠狀病毒疾病（COVID-19）疫情迫使民主與共和兩黨改變全國代表大會舉行的形式。民主黨陣營捨棄如計畫讓人員出席威斯康辛州密爾瓦基（Milwaukee）的集會，本週改採4天線上演說與活動。對此，川普在威州奧斯科施（Oshkosh）競選造勢時，批評民主黨人預錄部分演說。川普說：「我們星期四、下週四將發表真正的演說，你們可以聽到從白宮發布的現場演說。我們有很多話要說。」他的演說排定在下週共和黨全國代表大會最後一天發表。民主黨人痛批，川普在白宮發表總統候選人提名演說，是將這一座具有歷史意義的總統官邸政治化。聯邦眾議院議長裴洛西（Nancy Pelosi）表示，川普把白宮用於政治活動之中，是再度「貶低白宮地位」。1939年實施的「海契法」（Hatch Act）禁止政府人員利用職務權限干預選舉結果。川普堅稱他的計畫不會違法，因為總統不受此法約束。不過，法律專家說，川普或許有豁免權，但在白宮舉行與全國代表大會有關的活動，還是可能讓其他政府官員觸法。►川普難接受弟弟死訊…可能在白宮舉辦追悼會！　坦言度過艱難周末►拜登一度想輕生！奪年輕參議員光環「妻女車禍雙亡」　長子癌逝…一句話挺爹到底►誰是幸運兒？　川普：我將赦免一位「非常非常重要」的人 
covid-19,"
                                                            2020年08月18日 14:32                                                        ",https://www.ettoday.net/news/20200818/1787572.htm,影／美返台少年「無症狀卻採檢確診」　陳時中下令政風單位調查,記者洪巧藍／台北報導中央流行疫情指揮中心17日公布國內新增1名境外移入病例，為10多歲長住美國的本國籍少年（案485）。值得注意的是，個案居家檢疫期間並未出現症狀卻被採檢確診，和過往程序不符。指揮中心發言人莊人祥今（18）日表示，指揮官陳時中昨已下令政風單位針對衛生局正式進行調查，再對外報告。指揮中心發言人莊人祥昨表示，個案自8月5日入境台灣迄今無疑似症狀，8月15日經地方衛生單位採檢，於昨日確診，目前收治住院隔離，由於個案航行途中有適當防護，返國迄今均無症狀，且入境後即前往防疫旅館居家檢疫，未與國內親友接觸，因此沒有匡列接觸者。▲10多歲男自美返台探親，居家檢疫期間確診 COVID-19。（圖／翻攝自Facebook／衛生福利部）然而指揮中心除針對高風險地區（目前僅菲律賓）返國者於機場採檢，其餘國家則是以居家檢疫「有症狀才採檢」的做法，這名少年至今無症狀為何會被採檢？莊人祥表示，指揮官在昨天已經下令請政風單位對衛生局進行正式調查，釐清為何在居家檢疫10天之後做出採檢決定，未來有結果會立刻跟外界報告。這也是疫情以來，首次由政風單位調查採檢相關事宜。外傳該起事件發生在彰化與以及該案為高官之子，莊人祥僅一再強調不方便透露細節，一切待調查結果出爐，自然會向外界交代清楚。▲中央流行疫情指揮中心記者會。（圖／疾管署提供）►我們的美麗就用白紙黑字寫下來 
covid-19,2020年08月18日 14:20,https://www.ettoday.net/news/20200818/1787562.htm,《虎王》第二季要拍了！被控殺夫人妻獅子大開口：付3700萬才回歸,記者吳孟庭／綜合報導Netflix超狂紀錄片影集《虎王》（Tiger King），在新冠肺炎期間、人人待在家之際引爆全美熱議，日前傳出想拍第二季，但卡在「動保人士」卡蘿巴斯金（Carole Baskin），傳出她開價100萬英鎊（約3700萬台幣）才要加入！《虎王》在疫情期間於Netflix上架掀起全美熱潮，據統計有6400萬家庭看過！講述美國奇人異國喬（Joe Exotic）養上百隻老虎、開私人動物園，卡蘿緊咬他私自繁殖，被影響生意的異國喬竟涉及買兇殺人，想幹掉死對頭卡蘿，再加上虐待動物的指控，被判入獄22年，本人還在監獄服刑中。第二季的規劃，不但有入獄中的異國喬，他兩個老公迪倫帕奇（Dillon Passage）與傑夫羅威（Jeff Lowe）也會回歸。然而就是卡在對手卡蘿談不攏。▲《虎王》卡蘿巴斯金遭控殺夫 。（圖／Netflix提供）根據《太陽報》報導，卡蘿開出了7位數字的天價（100萬英鎊），她想要將這筆資金投入在她於佛羅里達州經營的「大貓拯救站」，目前已經因為新冠肺炎（COVID-19）而關閉。卡蘿獅子大開口也不是沒有原因，因為《虎王》播出後，她第二任丈夫唐路易斯（Don Lewis）失蹤案成為討論焦點，甚至被製成網路迷因。異國喬影射卡蘿殺夫謀產，她因此繼承老公1.5億身家。▲異國喬影射卡蘿殺害親夫，她成為網路撻伐對象。（圖／Netflix提供）唐路易斯號稱「綠手指」，什麼東西被他經手都有門路賺錢，生性低調的他從不讓任何人知道真正身家，1991年他和小23歲的卡蘿結婚，1997年一夜人間蒸發，離奇失蹤22年，留下500萬美元（約台幣1.5億）資產，卡蘿用老公的錢開設大貓救援庇護所，拯救不適合被飼養的老虎、獅子和其他動物，槓上以私人動物園營利的異國喬。▲異國喬的動物園現由卡蘿接管。（圖／Netflix提供）因此《虎王》播出後，大多數人相信卡蘿殺了丈夫，把屍體拿去餵獅子以毀屍滅跡。知情人士表示，「拍攝《虎王》後讓她私生活曝光，她得確保這讓她值得這麼做。」而坐牢中的異國喬則是希望拍攝第二季來證實他的清白。目前法院判定動物園由卡蘿接管，傑夫必須離開，第二季若拍攝兩人必定正面槓上。 
covid-19,"
                                                            2020年08月18日 14:17                                                        ",https://www.ettoday.net/news/20200818/1787570.htm,影／台灣「新冠肺炎疫苗」進入人體試驗！　研發成功「醫護、防疫人員」優先施打,記者趙于婷／台北報導台灣新冠肺炎疫苗進入第一期人體試驗了！食藥署17日表示，召開專家會議審查國光生技COVID-19候選疫苗「第一期臨床試驗計畫」，決議「有條件」核准其執行，但仍須提供安全性等數據資料。指揮中心社區防疫組組長楊靖慧指出，未來施打排序經過專家會議決定，會優先以第一線醫護人員和防疫人員為主，但還要看試驗後的成效決定是否使用。該廠商在6月就提出申請，食藥署之前已審查該試驗計畫符合臨床試驗第一期安全性法規要求，但由於這是首次用於人體疫苗臨床試驗，對受試者安全來說，可能有其潛在風險，因此在8/16再召開審查專家會議，審查該候選疫苗「AdimrSC-2f vaccine （COVID-19 S蛋白片段）」。與會專家建議有條件核准該第一期臨床試驗計畫，要求該公司須補齊部分技術性和安全性資料，只要審查通過後，就可實際施打於受試者，但專家學者也認為該公司目前檢送資料尚無法得知該疫苗用於人體的有效性，仍待未來第一期臨床試驗結果，才可針對疫苗療效做評估及確認。楊靖慧說，該廠商昨天開始進行第一期人體試驗，其他廠商也在8月底前跟食藥署提出申請，陸續會在9月開始人體試驗，而在量能方面，則要看第一期和第二期的結果和疫苗有效性做決定，施打排序上，已經經過專家會議決定，會優先以第一線醫護人員、防疫人員為主。▲台灣新冠肺炎疫苗進入第一期人體試驗了。（圖／免費圖庫） 
covid-19,"
                                                            2020年08月18日 14:17                                                        ",https://www.ettoday.net/news/20200818/1787550.htm,彰縣採檢揪出「無症狀個案」！美國返台居檢少年確診　指揮中心要釐清流程,"▲中央流行疫情指揮中心記者會。（圖／疾管署提供） 文／中央社記者陳偉婷從美國返台少年昨天確診新冠肺炎，他是無症狀居家檢疫被彰化縣政府採檢確診的首例。但居檢無症狀卻被採檢，並非個案，有民眾居檢時也配合彰化縣採檢，理由是擔心會有無症狀感染者。美國新冠肺炎（2019冠狀病毒疾病，COVID-19）嚴情嚴重，一名長居美國的台籍少年回台探親，沒有症狀，居家檢疫期間由地方政府採檢，中央流行疫情指揮中心昨天宣布他確診新冠肺炎。外界質疑，居家檢疫者沒有症狀為何需要採檢。這名少年家在彰化縣，他被採檢，並非個案。有民眾向中央社記者表示，他從國外回台，在居家檢疫期間接到彰化縣衛生局來電，告知回台幾天都沒有症狀，但為了避免有無症狀感染的風險，詢問是否願意接受鼻咽採檢。無須付採檢費用，但須自付掛號費。這位民眾表示，當時他從高風險國家返國，覺得採檢得知自身健康狀況也好，就接受採檢。原本以為，這是全國都採用的例行措施，直到自美返台少年一案揭露後，他才知道「原來不是正常程序」，感到傻眼；且他有另一名朋友也從國外回來到彰化居家檢疫，一樣也被採檢。但這位民眾也說，彰化衛生局僅採檢鼻咽做核酸檢測，並沒有抽血驗抗體。根據現行擴大社區監測採檢及個案處理流程，可採檢個案包含不符合通報條件的肺炎或嗅覺、異常個案及不符合通報定義的發燒、呼吸道症狀、不明原因腹瀉，醫師認為有必要採檢者。但是，無症狀的居家檢疫者並不在其列。一名瞭解狀況的專家指出，彰化縣政府對居家檢疫者進行採檢是廣泛性採檢，非針對個案，也有居家檢疫者拒絕。也有另一名專家指出，依目前通報採檢送驗流程，醫院要到法定傳染病通報系統「其他」項下「疑似新冠病毒感染送驗入口」通報送驗，在通報時就要點選「有無症狀」和「主要症狀」，不解彰化縣政府如何通報沒有症狀的居家檢疫者，以及執行社區監測通報採檢流程有無瑕疵。針對地方政府採檢無症狀居家檢疫者，中央流行疫情指揮中心17日表示，將調查為什麼會有此事發生。疫情指揮中心發言人莊人祥上午接受中央社記者採訪時不願就彰化縣政府狀況多做說明，僅說下午記者會將回應。其他人也看了...美返台少年「無症狀卻採檢確診」　陳時中下令政風單位調查 "
covid-19,"
                                                            2020年08月18日 14:08                                                        ",https://www.ettoday.net/news/20200818/1787535.htm, 影／大馬染疫男最新調查　4名接觸者採檢結果出爐！,▲中央流行疫情指揮中心記者會。（圖／疾管署提供）記者洪巧藍／台北報導馬來西亞衛生部14日公布境外移入病例有1例來自台灣。中央流行疫情指揮中心發言人莊人祥今（18）日公布接觸者採檢結果，除了她的妻子先前已經採檢陰性，其餘4人進行核酸、抗體檢測都是陰性。莊人祥昨表示，衛生單位有跟該個案聯繫上，個案表示自己從台灣出境前一個月都待在家裡，只有出門購買餐點，也都有佩戴口罩，另聯繫到馬來西亞針對個案第二次採檢的CT值為37.93，屬於比較高的數值。該名個案是在8月2日搭機前往吉隆坡，當時經鼻咽拭子採檢均陰性，之後就被巴士安排到指定地點檢疫，直到8月13日檢疫期滿前採檢，8月14日才被採檢出陽性，但至今無症狀。個案的親密接觸者匡列5人，先前太太檢驗已確定陰性，其餘4人都已經完成採檢，核酸、抗體檢測都是陰性。▲8月18日新增1例境外移入COVID-19個案，男自菲律賓返國後發病確診。（圖／翻攝自Facebook／衛生福利部）►我們的美麗就用白紙黑字寫下來 
covid-19,"
                                                            2020年08月18日 14:04                                                        ",https://www.ettoday.net/news/20200818/1787536.htm,影／當地就醫陰性！60多歲男菲律賓返台「機場採檢也陰性」　2天後發燒確診,"記者黃凱翊／綜合報導中央流行疫情指揮中心今(18)日公布國內新增1例境外移入COVID-19(新冠肺炎)病例，為60多歲本國籍男性(案486)，長期於菲律賓工作(前次自台灣出境時間為2020年1月)，8月12日返台。▲案486從菲律賓返台機上位置圖。（圖／指揮中心提供）指揮中心表示，個案妻子於8月2日出現發燒症狀，曾於菲律賓當地就醫採檢，結果為陰性，後與妻子於8月12日返台。個案入境時無症狀，於機場採檢後送至集中檢疫所隔離檢疫，機場採檢結果為陰性。個案於8月14日及15日反覆出現發燒情形，15日由檢疫所安排就醫採檢，於今日確診，目前住院隔離治療。▲8月18日新增1例境外移入COVID-19個案，男自菲律賓返國後發病確診。（圖／翻攝自Facebook／衛生福利部）指揮中心指出，衛生單位已掌握個案接觸者共29人，包括同行返國家人1人(個案太太)及同班機前後二排座位旅客共17人，均列為居家隔離對象；另同班機機組員11人因全程有適當防護，列為自主健康管理對象。其中個案太太入境時主動通報曾有發燒症狀，由機場檢疫人員評估後送至醫院隔離，經X光診斷有肺炎情形，分別於8月12日、13日及14日採檢，結果均為陰性。▼中央流行疫情指揮中心發言人莊人祥。（圖／記者屠惠剛攝）指揮中心統計，國內截至目前累計84,965例新型冠狀病毒肺炎相關通報(含83,864例排除)，其中486例確診，分別為394例境外移入、55例本土病例、36例敦睦艦隊及1例待釐清。►我們的美麗就用白紙黑字寫下來 "
covid-19,"
                                                            2020年08月18日 14:01                                                        ",https://www.ettoday.net/news/20200818/1787450.htm,快訊／再增1例境外移入！長期菲律賓工作60多歲男染疫,"▲中央流行疫情指揮中心記者會（圖／疾管署提供）記者洪巧藍／台北報導中央流行疫情指揮中心今(18)日公布國內新增1例境外移入新冠肺炎病例，為60多歲本國籍男性(案486)，長期於菲律賓工作(前次自台灣出境時間為2020年1月)，8月12日返台。指揮中心表示，個案妻子於8月2日出現發燒症狀，曾於菲律賓當地就醫採檢，結果為陰性，後與妻子於8月12日返台。個案入境時無症狀，於機場採檢後送至集中檢疫所隔離檢疫，機場採檢結果為陰性。個案於8月14日及15日反覆出現發燒情形，15日由檢疫所安排就醫採檢，於今日確診，目前住院隔離治療。▲案486機上位置圖。（圖／指揮中心提供）指揮中心指出，衛生單位已掌握個案接觸者共29人，包括同行返國家人1人(個案太太)及同班機前後二排座位旅客共17人，均列為居家隔離對象；另同班機機組員11人因全程有適當防護，列為自主健康管理對象。其中個案太太入境時主動通報曾有發燒症狀，由機場檢疫人員評估後送至醫院隔離，經X光診斷有肺炎情形，分別於8月12日、13日及14日採檢，結果均為陰性。指揮中心統計，國內截至目前累計84,965例新型冠狀病毒肺炎相關通報(含83,864例排除)，其中486例確診，分別為394例境外移入、55例本土病例、36例敦睦艦隊及1例待釐清。▲新增1例境外移入COVID-19個案，男自菲律賓返國後發病確診。（圖／翻攝自Facebook／衛生福利部）►我們的美麗就用白紙黑字寫下來 "
covid-19,"
                                    2020-08-18 12:15                                ",https://www.ettoday.net/news/20200818/1787450.htm,工研院攜手泰博、土耳其家電龍頭Arcelik　開發「複合式個人化健康檢測站」,"記者姚惠茹／台北報導 工研院今（18）日宣布攜手泰博科技與土耳其家電龍頭Arcelik將物聯網結合醫療儀器，整合軟體應用系統，開發「複合式個人化健康檢測站」，兩分鐘內就可完成血壓、血氧、心電圖、體重與體溫等五大生理資訊量測，並可透過雲端將數據傳至醫院的醫療系統，即時掌握生理數據，降低醫護人員面對面接觸感染風險，目前已取得歐盟醫療器材CE認證，並由台灣製造再外銷土耳其。  工研院服務系統科技中心執行長鄭仁傑表示，新冠肺炎疫情改變人們的生活，尤其是第一線的醫療院所，在時間與照顧人力缺乏的雙重壓力下，多元化複合式生理監控醫材，透過IoT技術加值「數位轉型」，可突破空間與時間限制，提供更靈活、彈性的醫療服務。鄭仁傑指出，根據經濟合作暨發展組織（OECD）最新資料顯示，土耳其人口約8200萬，每1000人僅1.9位護士照護，為降低醫療人力支出與感染風險，工研院攜手Arcelik公司並鏈結國內醫療器材廠商，建構串聯多種個人化生理參數量測醫療器材的系統資訊平台，整合醫材設備與生理數值系統。鄭仁傑說明，透過工研院豐富的場域實證經驗與服務設計能力，再整合泰博科技設計的醫療系統解決方案，共同開發「複合式個人化健康檢測站」，不僅讓每個人快速輕鬆地掌握生理數據，也減少醫護人員接觸感染，大幅提升醫療效率，加速台灣醫療業者與國際市場鏈結。▲「複合式個人化健康檢測站」。（圖／工研院提供）                                                                                     土耳其家電龍頭Arcelik亞洲區經理Özgür Baydarol表示，當病患坐入「複合式個人化健康檢測站」內，直接面對顯示器屏幕，AI人工智慧驅動的機器視覺將以人臉識別連結醫療資訊系統，引導病患完成醫院註冊和生理數據測量，並運用語音助理詢問病史和症狀，蒐集個人生理數據後，檢查報告將自動建檔，並透過醫療資訊系統發送給醫師。 泰博科技董事長陳朝旺指出，泰博在遠距醫療領域深耕多年，遠距醫療觸角早已遍及台灣的各大醫院及電信業者，這次與工研院及Arcelik共同合作研發「複合式個人化健康檢測站」，藉著完整的遠距監測系統，讓醫療變得更簡便有效率，為遠距醫療的科技帶來全新的突破。 工研院表示，「複合式個人化健康檢測站」以演算法用來提供高精度生理量測與分析，心電圖模組除了記錄清晰的心臟生理訊號，並以機器學習開發心律相關疾病風險分析，包括心房顫動，心律過速和心律過緩等高風險症狀，夠加入時間軸以分析心電圖波形間隔，提供心率變異性分析。工研院指出，演算法也用在測量血壓、呼吸頻率、血氧飽和度和體溫，目前臨床應用於土耳其多家大型醫療中心，並在2020年獲選為英特爾新型冠狀病毒肺炎（COVID-19）支援專案中最佳平台技術之一，更在短短一年之內取得歐盟醫療器材CE認證，為第一線醫護人員實現數位醫療產業化。 工研院強調，希望藉由科技的輔助，在疫情期間以醫療照護新風貌重現，未來將因應國人健康意識提升及超高齡社會來臨，將「複合式個人化健康檢測站」應用在台灣醫院照護中心、一般大賣場與連鎖藥妝店等，滿足使用者需求。 "
